Movie_Id, Genre_Id
181, 3
181, 1
181, 12
182, 1
182, 15
183, 11
183, 17
183, 8
184, 1
184, 8
185, 1
185, 10
185, 6
186, 2
186, 1
186, 12
187, 2
187, 12
188, 1
189, 2
189, 1
189, 16
190, 1
191, 4
191, 1
191, 9
192, 11
192, 15
193, 1
193, 8
194, 1
194, 12
195, 13
195, 1
195, 14
196, 2
196, 1
196, 16
197, 1
197, 8
197, 12
198, 1
199, 3
199, 2
199, 1
200, 3
200, 1
200, 7
201, 1
201, 12
202, 11
202, 1
202, 12
203, 13
203, 4
203, 11
204, 1
205, 11
205, 1
205, 19
206, 11
206, 1
206, 10
207, 4
207, 11
207, 2
208, 1
208, 16
208, 12
209, 13
209, 1
209, 10
210, 5
210, 1
210, 6
211, 13
211, 4
211, 11
212, 11
212, 1
212, 8
213, 5
213, 1
213, 6
214, 3
214, 5
214, 1
215, 3
215, 5
215, 1
216, 5
216, 2
216, 1
217, 13
217, 4
217, 1
218, 16
218, 12
219, 11
219, 1
220, 2
220, 1
220, 16
221, 3
221, 4
221, 7
222, 3
222, 2
222, 1
223, 1
224, 4
224, 1
224, 10
225, 1
225, 17
226, 5
226, 1
226, 14
227, 13
227, 11
227, 1
228, 13
228, 3
228, 4
229, 4
229, 5
229, 1
230, 2
230, 1
230, 12
231, 11
231, 1
231, 8
232, 1
232, 21
233, 5
233, 1
233, 6
234, 3
234, 1
234, 15
235, 1
235, 8
236, 11
236, 1
236, 19
237, 2
237, 1
237, 16
238, 11
238, 1
238, 8
239, 3
239, 2
239, 1
240, 13
240, 4
240, 11
241, 5
241, 2
241, 1
242, 1
242, 12
243, 13
243, 4
243, 11
244, 13
244, 3
244, 1
245, 4
245, 1
245, 19
246, 1
246, 16
246, 12
247, 1
247, 17
247, 8
248, 11
248, 1
249, 11
249, 2
249, 8
250, 11
250, 2
250, 21
251, 1
251, 8
252, 1
253, 2
253, 1
253, 12
254, 11
254, 1
254, 15
255, 2
255, 1
256, 1
256, 8
257, 1
257, 8
258, 1
258, 16
258, 8
259, 11
259, 2
259, 1
260, 3
260, 4
260, 7
261, 5
261, 2
261, 1
262, 1
262, 17
262, 8
263, 1
263, 6
263, 8
264, 11
264, 1
265, 4
265, 1
266, 1
266, 15
267, 1
268, 13
268, 4
268, 10
269, 18
269, 16
269, 7
270, 1
270, 10
270, 17
271, 4
271, 1
272, 1
273, 3
273, 7
273, 12
274, 5
274, 1
275, 11
276, 1
276, 15
277, 1
277, 21
278, 1
279, 4
279, 1
279, 6
280, 5
280, 1
281, 1
281, 16
281, 12
282, 11
282, 2
282, 1
283, 1
284, 1
284, 16
284, 7
285, 2
285, 1
285, 16
286, 2
286, 1
287, 1
287, 12
288, 5
288, 1
288, 6
289, 1
289, 15
290, 1
290, 10
291, 1
291, 18
291, 12
292, 3
292, 11
292, 2
293, 1
293, 9
294, 1
294, 15
295, 1
296, 5
296, 1
296, 6
297, 2
297, 1
298, 4
298, 1
298, 6
299, 4
299, 1
300, 1
301, 1
301, 6
302, 4
302, 1
302, 15
303, 2
303, 1
303, 12
304, 4
304, 1
304, 12
305, 1
305, 20
306, 3
306, 2
306, 1
307, 20
307, 16
307, 12
308, 1
308, 17
308, 8
309, 11
309, 1
309, 8
310, 1
310, 16
310, 8
311, 11
311, 1
312, 1
312, 6
312, 8
313, 1
313, 15
314, 11
314, 8
315, 5
315, 1
315, 6
316, 11
316, 8
317, 1
317, 8
318, 11
318, 1
319, 4
319, 5
319, 1
320, 1
320, 6
321, 3
321, 4
321, 11
322, 3
322, 2
322, 12
323, 11
323, 1
323, 17
324, 5
324, 1
325, 4
325, 1
325, 7
326, 13
326, 4
326, 11
327, 3
327, 1
328, 13
328, 4
328, 1
329, 1
329, 14
330, 1
330, 17
330, 8
331, 2
331, 1
331, 12
332, 1
333, 3
333, 2
333, 12
334, 5
334, 1
334, 12
335, 3
335, 4
335, 11
336, 3
336, 1
336, 16
337, 1
337, 8
337, 7
338, 5
338, 1
338, 17
339, 3
339, 4
339, 1
340, 1
340, 8
341, 3
341, 2
341, 1
342, 5
342, 1
342, 6
343, 1
344, 3
344, 4
344, 11
345, 1
345, 16
346, 1
346, 8
347, 3
347, 5
347, 1
348, 1
349, 3
349, 1
349, 12
350, 1
350, 8
351, 1
351, 12
352, 3
352, 2
352, 1
353, 3
353, 4
353, 7
354, 13
354, 5
354, 1
355, 5
355, 1
356, 5
356, 1
357, 4
357, 1
357, 12
358, 3
358, 16
358, 12
359, 2
359, 1
359, 8
360, 2
360, 12
361, 5
361, 1
362, 4
362, 11
362, 7
363, 13
363, 4
363, 11
364, 3
364, 4
364, 12
365, 3
365, 2
365, 12
366, 1
367, 1
367, 8
368, 5
368, 1
369, 5
369, 1
369, 6
370, 11
370, 1
370, 19
371, 3
371, 2
371, 1
372, 3
372, 4
372, 10
373, 4
373, 1
373, 10
374, 13
374, 3
374, 4
375, 11
375, 1
375, 8
376, 2
376, 1
377, 11
377, 1
378, 1
378, 16
378, 7
379, 1
380, 2
380, 1
380, 19
381, 5
381, 1
382, 13
382, 2
382, 16
383, 1
384, 1
385, 13
385, 3
385, 4
386, 3
386, 2
386, 11
387, 1
388, 11
388, 1
389, 16
389, 7
389, 12
390, 13
390, 3
390, 2
391, 13
391, 14
391, 10
392, 11
392, 10
392, 8
393, 2
393, 1
394, 1
395, 13
395, 4
395, 11
396, 1
396, 6
396, 12
397, 13
397, 14
397, 10
398, 4
398, 1
398, 9
399, 11
399, 1
400, 1
401, 13
401, 3
401, 7
402, 4
402, 14
402, 10
403, 1
403, 10
403, 8
404, 1
404, 15
405, 13
405, 4
405, 1
406, 3
406, 7
407, 5
407, 1
407, 6
408, 1
408, 6
408, 15
409, 11
409, 1
410, 11
410, 8
411, 4
411, 12
412, 5
412, 2
412, 1
413, 11
414, 5
414, 2
414, 1
415, 18
416, 16
416, 12
417, 1
417, 8
418, 1
418, 14
418, 19
419, 1
420, 5
420, 2
420, 1
421, 1
421, 18
422, 4
422, 7
423, 11
423, 1
423, 8
424, 1
425, 5
425, 1
425, 14
426, 1
426, 8
426, 15
427, 3
427, 1
427, 9
428, 1
429, 1
430, 1
430, 21
431, 11
431, 1
432, 3
432, 1
432, 9
433, 2
433, 1
433, 16
434, 2
434, 1
434, 20
435, 1
436, 1
436, 20
437, 2
437, 1
437, 20
438, 2
438, 1
438, 20
439, 1
440, 2
440, 1
440, 18
441, 11
441, 1
441, 15
442, 11
442, 8
443, 1
444, 1
444, 20
444, 16
445, 11
445, 2
446, 2
446, 1
446, 16
447, 2
447, 1
447, 20
448, 1
448, 8
449, 1
449, 20
449, 16
450, 1
450, 8
450, 15
451, 11
451, 2
451, 12
452, 20
452, 16
453, 1
453, 6
454, 4
454, 14
454, 10
455, 11
455, 1
456, 11
456, 2
456, 16
457, 1
457, 15
458, 11
458, 2
458, 1
459, 11
459, 1
459, 8
460, 2
460, 1
461, 11
461, 1
461, 8
462, 1
462, 8
463, 1
464, 13
464, 4
464, 11
465, 4
465, 11
465, 1
466, 11
466, 1
467, 11
467, 1
467, 17
468, 3
468, 4
468, 11
469, 2
469, 1
469, 12
470, 11
470, 1
470, 15
471, 1
471, 7
472, 3
472, 4
472, 7
473, 1
473, 8
474, 3
474, 4
474, 7
475, 2
475, 1
476, 11
476, 1
476, 8
477, 3
477, 4
477, 7
478, 1
478, 8
479, 5
479, 2
479, 1
480, 2
480, 1
481, 1
481, 16
481, 7
482, 2
482, 1
482, 10
483, 3
483, 7
483, 12
484, 1
484, 21
485, 11
485, 1
485, 8
486, 1
487, 1
488, 3
488, 4
488, 7
489, 11
489, 2
489, 1
490, 1
490, 10
490, 16
491, 3
491, 4
491, 1
492, 4
492, 1
492, 10
493, 4
493, 1
493, 10
494, 13
494, 4
494, 11
495, 11
495, 1
496, 1
496, 17
497, 3
497, 4
497, 7
498, 11
498, 18
499, 1
499, 8
500, 2
500, 1
500, 16
501, 4
501, 14
501, 10
502, 3
502, 4
502, 6
503, 1
503, 16
503, 8
504, 11
504, 1
504, 15
505, 13
505, 3
505, 2
506, 3
506, 16
506, 12
507, 2
507, 1
507, 12
508, 4
508, 1
508, 7
509, 4
509, 11
509, 1
510, 1
510, 16
510, 12
511, 13
511, 4
511, 11
512, 1
513, 13
513, 1
513, 14
514, 2
514, 1
515, 2
515, 1
515, 8
